Company,Industry,Revenue ($M),Employees,Location
Company110,Logistics,0.82,167,"Boise, ID"
Company111,Healthtech,7.38,155,"Los Angeles, CA"
Company112,Logistics,10.0,194,"Miami, FL"
Company113,Retail,7.11,99,"Seattle, WA"
Company114,Marketing,4.96,174,"Chicago, IL"
Company115,Retail,5.77,18,"Denver, CO"
Company116,E-commerce,3.29,37,"San Francisco, CA"
Company117,AI,2.63,83,"New York, NY"
Company118,Healthtech,9.59,124,"Miami, FL"
Company119,Marketing,1.04,136,"New York, NY"
Company120,Fintech,2.04,86,"Austin, TX"
Company121,Logistics,0.91,113,"San Francisco, CA"
Company122,Edtech,5.18,161,"San Francisco, CA"
Company123,AI,8.32,85,"Austin, TX"
Company124,Retail,4.76,110,"Austin, TX"
Company125,AI,0.86,115,"Austin, TX"
Company126,Agritech,3.14,51,"Boise, ID"
Company127,Logistics,2.37,58,"Boise, ID"
Company128,E-commerce,8.46,72,"Austin, TX"
Company129,Logistics,3.61,144,"Austin, TX"
Company130,Agritech,5.93,92,"Miami, FL"
Company131,Logistics,7.55,90,"Boise, ID"
Company132,Fintech,1.7,172,"Denver, CO"
Company133,Agritech,5.58,71,"Los Angeles, CA"
Company134,Marketing,9.13,172,"Denver, CO"
Company135,Healthtech,0.92,36,"Austin, TX"
Company136,Retail,5.83,82,"New York, NY"
Company137,Edtech,9.58,108,"San Francisco, CA"
Company138,E-commerce,5.52,121,"Los Angeles, CA"
Company139,AI,6.63,8,"Denver, CO"
Company140,Marketing,7.16,143,"Boise, ID"
Company141,Marketing,8.61,25,"Boise, ID"
Company142,Agritech,5.87,142,"San Francisco, CA"
Company143,Retail,7.84,106,"Los Angeles, CA"
Company144,Healthtech,1.56,91,"New York, NY"
Company145,Marketing,8.29,12,"Seattle, WA"
Company146,Marketing,4.67,184,"Los Angeles, CA"
Company147,Agritech,5.4,140,"Austin, TX"
Company148,AI,8.06,120,"Denver, CO"
Company149,Retail,1.65,15,"Seattle, WA"
Company150,Marketing,6.22,118,"Austin, TX"
Company151,Edtech,8.07,194,"Austin, TX"
Company152,Fintech,7.0,172,"Austin, TX"
Company153,Healthtech,3.3,13,"Miami, FL"
Company154,Agritech,3.18,160,"Austin, TX"
Company155,AI,6.02,19,"San Francisco, CA"
Company156,E-commerce,4.84,146,"Austin, TX"
Company157,Retail,3.84,52,"Los Angeles, CA"
Company158,AI,4.37,151,"Chicago, IL"
Company159,Logistics,7.95,46,"Austin, TX"
Company160,Fintech,8.84,24,"Seattle, WA"
Company161,Logistics,7.45,131,"Miami, FL"
Company162,AI,7.86,112,"Boise, ID"
Company163,Marketing,1.76,188,"San Francisco, CA"
Company164,Retail,1.64,126,"Denver, CO"
Company165,E-commerce,0.94,129,"Miami, FL"
Company166,Agritech,4.77,47,"Miami, FL"
Company167,Healthtech,7.67,40,"New York, NY"
Company168,AI,1.13,41,"Miami, FL"
Company169,Marketing,6.04,155,"New York, NY"
Company170,Marketing,8.95,121,"San Francisco, CA"
Company171,Logistics,3.9,77,"Denver, CO"
Company172,Edtech,8.18,12,"Seattle, WA"
Company173,E-commerce,1.6,146,"Chicago, IL"
Company174,AI,7.21,186,"San Francisco, CA"
Company175,Agritech,4.7,151,"Los Angeles, CA"
Company176,Healthtech,1.41,96,"Denver, CO"
Company177,E-commerce,2.61,179,"Chicago, IL"
Company178,Edtech,1.08,135,"Denver, CO"
Company179,Agritech,0.78,191,"Denver, CO"
Company180,E-commerce,2.73,100,"Boise, ID"
Company181,E-commerce,7.77,40,"San Francisco, CA"
Company182,Edtech,2.87,9,"Miami, FL"
Company183,Retail,2.69,7,"Boise, ID"
Company184,Agritech,6.05,120,"Los Angeles, CA"
Company185,Agritech,8.48,141,"Los Angeles, CA"
Company186,Marketing,7.23,114,"San Francisco, CA"
Company187,E-commerce,9.35,40,"Denver, CO"
Company188,AI,6.13,197,"San Francisco, CA"
Company189,Healthtech,1.41,10,"San Francisco, CA"
Company190,E-commerce,1.25,154,"Seattle, WA"
Company191,AI,3.59,200,"Los Angeles, CA"
Company192,Healthtech,9.34,113,"Denver, CO"
Company193,Logistics,3.79,175,"Boise, ID"
Company194,Retail,5.37,137,"Denver, CO"
Company195,Fintech,3.44,51,"San Francisco, CA"
Company196,E-commerce,8.58,19,"Denver, CO"
Company197,Agritech,0.68,132,"Boise, ID"
Company198,Healthtech,9.61,187,"Los Angeles, CA"
Company199,Marketing,0.97,188,"Chicago, IL"
Company200,Retail,1.26,151,"Los Angeles, CA"
Company201,Agritech,1.08,151,"Boise, ID"
Company202,Marketing,3.36,24,"San Francisco, CA"
Company203,AI,4.93,140,"Boise, ID"
Company204,Agritech,7.52,147,"Chicago, IL"
Company205,Edtech,2.26,70,"Denver, CO"
Company206,E-commerce,3.84,95,"Denver, CO"
Company207,Fintech,7.63,200,"Austin, TX"
Company208,Logistics,1.27,75,"New York, NY"
Company209,Fintech,4.39,88,"San Francisco, CA"
Company210,Logistics,0.7,97,"Austin, TX"
Company211,AI,6.33,27,"Los Angeles, CA"
Company212,E-commerce,8.47,14,"Seattle, WA"
Company213,Fintech,7.96,61,"San Francisco, CA"
Company214,Fintech,1.28,20,"Austin, TX"
Company215,Healthtech,2.96,23,"Austin, TX"
Company216,AI,6.36,99,"Chicago, IL"
Company217,Retail,3.63,124,"San Francisco, CA"
Company218,Agritech,0.92,50,"Austin, TX"
Company219,Fintech,7.93,47,"Denver, CO"
Company220,Edtech,9.53,64,"Denver, CO"
Company221,AI,8.95,80,"Miami, FL"
Company222,Logistics,8.85,58,"Miami, FL"
Company223,Fintech,8.89,178,"Chicago, IL"
Company224,Agritech,1.06,67,"San Francisco, CA"
Company225,Healthtech,7.19,20,"Boise, ID"
Company226,E-commerce,2.02,71,"Miami, FL"
Company227,Fintech,6.56,192,"Austin, TX"
Company228,Healthtech,3.73,16,"Boise, ID"
Company229,Marketing,4.17,163,"New York, NY"
Company230,Healthtech,4.33,177,"Los Angeles, CA"
Company231,E-commerce,6.51,31,"San Francisco, CA"
Company232,Healthtech,7.23,27,"San Francisco, CA"
Company233,Retail,7.26,21,"Chicago, IL"
Company234,Agritech,2.87,178,"Denver, CO"
Company235,Fintech,7.69,136,"New York, NY"
Company236,E-commerce,1.38,16,"Seattle, WA"
Company237,Healthtech,4.31,176,"Boise, ID"
Company238,Healthtech,3.86,193,"Austin, TX"
Company239,Agritech,1.12,192,"Seattle, WA"
Company240,AI,5.72,141,"Los Angeles, CA"
Company241,Retail,5.65,120,"Austin, TX"
Company242,Edtech,9.03,83,"San Francisco, CA"
Company243,Fintech,1.5,9,"Los Angeles, CA"
Company244,AI,3.74,187,"Los Angeles, CA"
Company245,E-commerce,9.6,172,"Boise, ID"
Company246,AI,3.02,119,"Chicago, IL"
Company247,Retail,5.91,128,"Chicago, IL"
Company248,Fintech,1.17,161,"Los Angeles, CA"
Company249,Edtech,4.21,184,"San Francisco, CA"
Company250,Logistics,7.15,91,"Boise, ID"
Company251,Retail,6.37,99,"Los Angeles, CA"
Company252,Marketing,4.4,68,"Austin, TX"
Company253,E-commerce,4.97,172,"Los Angeles, CA"
Company254,AI,9.5,154,"Chicago, IL"
Company255,AI,5.49,43,"Austin, TX"
Company256,Fintech,3.08,121,"Miami, FL"
Company257,Logistics,5.2,197,"Austin, TX"
Company258,Logistics,6.78,120,"Boise, ID"
Company259,Logistics,3.68,176,"San Francisco, CA"
Company260,Healthtech,10.0,18,"Chicago, IL"
Company261,Marketing,5.22,59,"Austin, TX"
Company262,Retail,8.14,5,"Chicago, IL"
Company263,Healthtech,4.24,48,"Boise, ID"
Company264,Retail,9.64,132,"New York, NY"
Company265,Healthtech,8.58,68,"New York, NY"
Company266,Marketing,8.74,39,"Denver, CO"
Company267,Fintech,4.82,15,"San Francisco, CA"
Company268,Retail,2.31,132,"Los Angeles, CA"
Company269,Agritech,3.88,66,"Denver, CO"
Company270,Agritech,6.87,131,"Chicago, IL"
Company271,Edtech,2.35,137,"San Francisco, CA"
Company272,Edtech,8.49,51,"San Francisco, CA"
Company273,Healthtech,8.89,73,"New York, NY"
Company274,Retail,7.77,52,"New York, NY"
Company275,Healthtech,1.47,164,"Miami, FL"
Company276,E-commerce,3.29,155,"Miami, FL"
Company277,Retail,6.89,126,"Chicago, IL"
Company278,Agritech,5.32,18,"Seattle, WA"
Company279,Retail,3.45,109,"Miami, FL"
Company280,Edtech,1.76,15,"Chicago, IL"
Company281,Logistics,7.96,134,"Los Angeles, CA"
Company282,Logistics,9.89,107,"Seattle, WA"
Company283,AI,1.11,33,"Denver, CO"
Company284,Retail,7.78,46,"Los Angeles, CA"
Company285,Agritech,8.65,121,"Denver, CO"
Company286,E-commerce,5.24,84,"Denver, CO"
Company287,AI,1.47,116,"Seattle, WA"
Company288,Agritech,6.15,127,"Seattle, WA"
Company289,Fintech,4.49,9,"Boise, ID"
Company290,Healthtech,5.85,167,"Chicago, IL"
Company291,Fintech,3.81,186,"Chicago, IL"
Company292,Logistics,7.49,36,"Denver, CO"
Company293,Healthtech,5.95,48,"San Francisco, CA"
Company294,AI,8.03,147,"Chicago, IL"
Company295,Fintech,4.43,55,"New York, NY"
Company296,AI,7.26,125,"Los Angeles, CA"
Company297,Edtech,7.54,192,"Miami, FL"
Company298,Marketing,3.95,25,"New York, NY"
Company299,Healthtech,7.51,157,"San Francisco, CA"
Company300,Agritech,1.55,38,"Seattle, WA"
Company301,Fintech,9.75,21,"Boise, ID"
Company302,E-commerce,8.83,152,"Seattle, WA"
Company303,Retail,3.26,183,"Boise, ID"
Company304,E-commerce,1.78,184,"San Francisco, CA"
Company305,Fintech,9.11,185,"Denver, CO"
Company306,Logistics,5.53,29,"Seattle, WA"
Company307,E-commerce,6.16,25,"New York, NY"
Company308,Fintech,8.93,131,"Miami, FL"
Company309,AI,6.56,33,"Los Angeles, CA"
Company310,Fintech,9.58,48,"Boise, ID"
Company311,AI,3.09,62,"New York, NY"
Company312,Retail,3.09,119,"Austin, TX"
Company313,AI,2.06,74,"Denver, CO"
Company314,Logistics,4.83,169,"New York, NY"
Company315,E-commerce,6.93,145,"Miami, FL"
Company316,AI,9.89,153,"Denver, CO"
Company317,Logistics,4.02,18,"San Francisco, CA"
Company318,Edtech,6.09,88,"Denver, CO"
Company319,E-commerce,9.27,183,"New York, NY"
Company320,Fintech,7.46,131,"Miami, FL"
Company321,Edtech,7.75,17,"Los Angeles, CA"
Company322,Edtech,1.09,73,"San Francisco, CA"
Company323,Fintech,2.29,15,"Denver, CO"
Company324,Healthtech,8.03,183,"Los Angeles, CA"
Company325,Marketing,8.99,34,"Denver, CO"
Company326,Retail,3.19,117,"Austin, TX"
Company327,Edtech,3.57,92,"Chicago, IL"
Company328,AI,2.83,85,"Denver, CO"
Company329,Edtech,5.36,151,"Austin, TX"
Company330,Marketing,8.31,181,"Boise, ID"
Company331,Fintech,9.44,118,"Miami, FL"
Company332,Agritech,4.18,145,"Austin, TX"
Company333,Marketing,3.09,200,"San Francisco, CA"
Company334,Agritech,4.07,140,"Los Angeles, CA"
Company335,Fintech,5.62,114,"Austin, TX"
Company336,Logistics,2.88,162,"Austin, TX"
Company337,Healthtech,0.58,13,"San Francisco, CA"
Company338,Edtech,8.68,86,"Miami, FL"
Company339,AI,7.86,138,"Miami, FL"
Company340,Logistics,7.32,115,"Austin, TX"
Company341,Logistics,2.95,163,"Miami, FL"
Company342,Retail,4.28,109,"Los Angeles, CA"
Company343,Marketing,1.11,154,"Boise, ID"
Company344,Fintech,7.13,62,"Los Angeles, CA"
Company345,Agritech,8.62,63,"Chicago, IL"
Company346,Logistics,5.16,78,"New York, NY"
Company347,Fintech,3.59,26,"Los Angeles, CA"
Company348,E-commerce,4.97,154,"Austin, TX"
Company349,Retail,5.22,132,"Boise, ID"
Company350,Marketing,5.31,165,"Miami, FL"
Company351,Agritech,2.87,53,"Miami, FL"
Company352,Edtech,4.35,191,"Miami, FL"
Company353,Retail,1.7,136,"Austin, TX"
Company354,E-commerce,7.02,200,"Los Angeles, CA"
Company355,Edtech,6.02,184,"Los Angeles, CA"
Company356,Edtech,0.79,81,"Seattle, WA"
Company357,Edtech,1.79,12,"Austin, TX"
Company358,Agritech,1.87,145,"Chicago, IL"
Company359,Retail,8.93,183,"Miami, FL"
Company360,Logistics,5.14,36,"Seattle, WA"
Company361,Edtech,9.2,129,"Seattle, WA"
Company362,Marketing,9.47,41,"Miami, FL"
Company363,Healthtech,4.53,67,"San Francisco, CA"
Company364,Marketing,9.21,61,"Denver, CO"
Company365,Marketing,6.25,106,"Denver, CO"
Company366,E-commerce,8.58,19,"New York, NY"
Company367,Healthtech,1.45,176,"Miami, FL"
Company368,Healthtech,9.03,126,"Austin, TX"
Company369,E-commerce,8.33,174,"Denver, CO"
Company370,Agritech,5.91,126,"Chicago, IL"
Company371,AI,3.22,56,"New York, NY"
Company372,Retail,9.27,75,"Seattle, WA"
Company373,Retail,3.37,81,"Los Angeles, CA"
Company374,Fintech,2.78,171,"Denver, CO"
Company375,E-commerce,2.74,99,"Chicago, IL"
Company376,Logistics,6.18,129,"Los Angeles, CA"
Company377,AI,3.23,39,"Chicago, IL"
Company378,Logistics,8.31,16,"San Francisco, CA"
Company379,E-commerce,3.24,90,"Denver, CO"
Company380,Healthtech,7.64,162,"San Francisco, CA"
Company381,E-commerce,5.39,115,"Denver, CO"
Company382,Marketing,7.47,197,"Miami, FL"
Company383,Fintech,3.22,136,"Miami, FL"
Company384,Marketing,5.77,175,"Seattle, WA"
Company385,Healthtech,6.5,45,"Boise, ID"
Company386,Marketing,8.69,137,"San Francisco, CA"
Company387,Marketing,4.3,172,"San Francisco, CA"
Company388,Marketing,5.42,68,"New York, NY"
Company389,Retail,5.07,147,"San Francisco, CA"
Company390,Fintech,9.41,99,"Boise, ID"
Company391,Agritech,7.69,146,"Chicago, IL"
Company392,Retail,9.94,191,"Seattle, WA"
Company393,AI,2.64,99,"Austin, TX"
Company394,AI,7.42,20,"Austin, TX"
Company395,Marketing,4.1,154,"Los Angeles, CA"
Company396,E-commerce,7.84,59,"Denver, CO"
Company397,Retail,3.12,140,"Seattle, WA"
Company398,AI,2.82,125,"Chicago, IL"
Company399,Fintech,6.33,118,"Miami, FL"
Company400,AI,2.5,27,"San Francisco, CA"
Company401,E-commerce,2.86,135,"Chicago, IL"
Company402,Logistics,1.05,136,"Miami, FL"
Company403,Marketing,9.91,68,"Seattle, WA"
Company404,Agritech,9.26,177,"Los Angeles, CA"
Company405,AI,5.11,18,"Seattle, WA"
Company406,Healthtech,4.66,193,"Seattle, WA"
Company407,Agritech,7.82,102,"Denver, CO"
Company408,AI,5.2,174,"Seattle, WA"
Company409,Healthtech,9.08,190,"San Francisco, CA"
Company410,Retail,3.5,35,"Boise, ID"
Company411,Healthtech,8.96,199,"Miami, FL"
Company412,AI,2.57,129,"New York, NY"
Company413,Agritech,7.42,130,"Austin, TX"
Company414,Edtech,1.72,85,"San Francisco, CA"
Company415,Healthtech,7.28,104,"Boise, ID"
Company416,Healthtech,9.9,158,"Chicago, IL"
Company417,Logistics,5.45,142,"Denver, CO"
Company418,Agritech,3.29,80,"Austin, TX"
Company419,Fintech,9.39,164,"Los Angeles, CA"
Company420,Fintech,2.54,163,"Chicago, IL"
Company421,E-commerce,8.94,41,"Austin, TX"
Company422,Marketing,4.49,120,"Miami, FL"
Company423,Retail,1.43,117,"Chicago, IL"
Company424,Logistics,7.6,62,"Los Angeles, CA"
Company425,E-commerce,9.32,106,"Los Angeles, CA"
Company426,Fintech,5.11,24,"Denver, CO"
Company427,Fintech,2.81,99,"Seattle, WA"
Company428,Healthtech,9.59,119,"Denver, CO"
Company429,E-commerce,2.1,153,"San Francisco, CA"
Company430,Edtech,4.15,42,"Denver, CO"
Company431,Healthtech,1.66,47,"Denver, CO"
Company432,Healthtech,5.28,45,"Denver, CO"
Company433,Agritech,5.55,150,"Chicago, IL"
Company434,Agritech,3.87,6,"New York, NY"
Company435,Marketing,6.11,106,"Miami, FL"
Company436,Logistics,2.68,70,"Boise, ID"
Company437,Agritech,7.64,179,"Miami, FL"
Company438,AI,3.5,200,"Denver, CO"
Company439,AI,2.15,190,"Seattle, WA"
Company440,Logistics,1.96,149,"Boise, ID"
Company441,Marketing,6.26,33,"Austin, TX"
Company442,Marketing,5.01,154,"Boise, ID"
Company443,Agritech,8.63,126,"Chicago, IL"
Company444,Agritech,1.92,199,"Chicago, IL"
Company445,Fintech,2.53,7,"Chicago, IL"
Company446,Healthtech,2.36,138,"New York, NY"
Company447,AI,0.57,67,"Denver, CO"
Company448,Logistics,9.71,29,"Chicago, IL"
Company449,Fintech,6.14,23,"New York, NY"
Company450,Retail,4.38,78,"Seattle, WA"
Company451,Agritech,0.79,163,"Los Angeles, CA"
Company452,E-commerce,3.93,27,"Seattle, WA"
Company453,Marketing,5.31,133,"Austin, TX"
Company454,Healthtech,6.49,43,"New York, NY"
Company455,Edtech,3.43,116,"Chicago, IL"
Company456,Retail,4.64,33,"New York, NY"
Company457,Edtech,7.94,183,"Austin, TX"
Company458,Healthtech,5.35,57,"Denver, CO"
Company459,AI,6.33,134,"Miami, FL"
Company460,Fintech,6.67,49,"Los Angeles, CA"
Company461,Retail,8.76,189,"San Francisco, CA"
Company462,Logistics,2.59,56,"San Francisco, CA"
Company463,Fintech,5.36,12,"New York, NY"
Company464,AI,2.36,100,"Chicago, IL"
Company465,AI,5.16,71,"San Francisco, CA"
Company466,Fintech,9.45,6,"Chicago, IL"
Company467,Fintech,9.69,84,"Los Angeles, CA"
Company468,Agritech,0.71,139,"Denver, CO"
Company469,Edtech,7.79,123,"Austin, TX"
Company470,Logistics,3.26,144,"Chicago, IL"
Company471,Agritech,8.51,147,"Los Angeles, CA"
Company472,Logistics,5.46,194,"Austin, TX"
Company473,Marketing,2.35,41,"Chicago, IL"
Company474,Retail,9.24,164,"Austin, TX"
Company475,Healthtech,6.29,38,"Miami, FL"
Company476,E-commerce,3.85,197,"Austin, TX"
Company477,Agritech,9.38,77,"Los Angeles, CA"
Company478,Agritech,5.95,90,"Los Angeles, CA"
Company479,Retail,8.15,108,"Seattle, WA"
Company480,Fintech,0.71,67,"Austin, TX"
Company481,Fintech,2.78,162,"Austin, TX"
Company482,E-commerce,4.93,33,"Denver, CO"
Company483,Retail,2.81,150,"Chicago, IL"
Company484,Healthtech,2.04,183,"Chicago, IL"
Company485,Marketing,7.94,92,"Austin, TX"
Company486,Logistics,1.48,86,"Boise, ID"
Company487,E-commerce,7.85,7,"New York, NY"
Company488,Fintech,5.12,30,"Los Angeles, CA"
Company489,Healthtech,2.0,51,"Denver, CO"
Company490,Fintech,4.66,54,"New York, NY"
Company491,Edtech,8.16,21,"Denver, CO"
Company492,Fintech,3.2,18,"San Francisco, CA"
Company493,Agritech,5.71,49,"Austin, TX"
Company494,Retail,1.0,161,"New York, NY"
Company495,Logistics,4.49,57,"Austin, TX"
Company496,Marketing,7.56,124,"Miami, FL"
Company497,Retail,6.22,144,"Los Angeles, CA"
Company498,Agritech,6.69,172,"Chicago, IL"
Company499,Retail,7.12,39,"Denver, CO"
Company500,Edtech,9.01,176,"Boise, ID"
Company501,Fintech,4.22,15,"Seattle, WA"
Company502,Agritech,8.93,142,"San Francisco, CA"
Company503,Edtech,3.19,132,"San Francisco, CA"
Company504,Marketing,9.1,102,"Miami, FL"
Company505,Healthtech,1.69,116,"Miami, FL"
Company506,Healthtech,4.28,146,"San Francisco, CA"
Company507,E-commerce,8.05,80,"New York, NY"
Company508,Healthtech,9.16,83,"Los Angeles, CA"
Company509,Retail,9.68,82,"San Francisco, CA"
Company510,Retail,8.58,138,"San Francisco, CA"
Company511,Marketing,8.78,106,"Seattle, WA"
Company512,Agritech,4.56,32,"Boise, ID"
Company513,Logistics,1.56,11,"Seattle, WA"
Company514,Marketing,7.48,167,"San Francisco, CA"
Company515,Logistics,8.15,49,"New York, NY"
Company516,Agritech,2.77,20,"Denver, CO"
Company517,Edtech,5.71,82,"New York, NY"
Company518,AI,8.92,108,"Denver, CO"
Company519,Edtech,6.81,64,"Boise, ID"
Company520,Retail,4.99,181,"San Francisco, CA"
Company521,Healthtech,1.45,48,"Denver, CO"
Company522,Agritech,6.25,35,"Austin, TX"
Company523,Retail,2.6,200,"Miami, FL"
Company524,Edtech,1.82,78,"Chicago, IL"
Company525,E-commerce,3.33,78,"Seattle, WA"
Company526,Fintech,4.63,30,"Miami, FL"
Company527,Logistics,4.08,94,"Los Angeles, CA"
Company528,Marketing,8.41,41,"New York, NY"
Company529,Fintech,4.71,179,"San Francisco, CA"
Company530,Agritech,6.67,90,"Boise, ID"
Company531,E-commerce,3.59,177,"Denver, CO"
Company532,Logistics,0.98,82,"Denver, CO"
Company533,Agritech,1.17,38,"New York, NY"
Company534,Edtech,4.47,161,"Denver, CO"
Company535,E-commerce,9.98,161,"Los Angeles, CA"
Company536,Fintech,5.23,71,"Miami, FL"
Company537,Edtech,1.71,180,"San Francisco, CA"
Company538,Edtech,2.38,184,"New York, NY"
Company539,Logistics,3.63,153,"San Francisco, CA"
Company540,AI,8.56,75,"Denver, CO"
Company541,Marketing,3.2,90,"San Francisco, CA"
Company542,Edtech,5.45,152,"Denver, CO"
Company543,Agritech,4.34,80,"San Francisco, CA"
Company544,E-commerce,2.48,7,"New York, NY"
Company545,E-commerce,4.01,102,"Boise, ID"
Company546,Edtech,1.36,40,"Austin, TX"
Company547,Healthtech,7.39,169,"Los Angeles, CA"
Company548,E-commerce,9.68,175,"Austin, TX"
Company549,Retail,4.83,172,"Los Angeles, CA"
Company550,Retail,7.9,80,"San Francisco, CA"
Company551,Logistics,7.31,80,"Denver, CO"
Company552,E-commerce,3.53,95,"New York, NY"
Company553,AI,7.12,135,"Denver, CO"
Company554,Retail,8.3,130,"Seattle, WA"
Company555,Agritech,4.37,178,"Chicago, IL"
Company556,Fintech,3.54,51,"Boise, ID"
Company557,Fintech,3.42,113,"Denver, CO"
Company558,Logistics,7.34,124,"Boise, ID"
Company559,Logistics,3.84,140,"Denver, CO"
Company560,Edtech,5.6,139,"New York, NY"
Company561,Fintech,8.98,119,"San Francisco, CA"
Company562,Logistics,4.56,66,"New York, NY"
Company563,Retail,7.09,88,"Seattle, WA"
Company564,Retail,5.89,145,"Boise, ID"
Company565,E-commerce,8.72,129,"Boise, ID"
Company566,Edtech,4.42,159,"Miami, FL"
